out,A0,dA0,A1,dA1,A2,dA2,A0-A1,d(A0-A1),A1-A2,d(A1-A2),current (mA),d(current (mA))
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
0.10,0.0782,0.0000,0.0787,0.0015,0.0000,0.0000,-0.0005,0.0001,0.0787,0.0001,-0.0022,-0.0005
0.20,0.1760,0.0000,0.1760,0.0000,0.0000,0.0000,0.0000,0.0000,0.1760,0.0000,0.0000,nan
0.30,0.2747,0.0020,0.2742,0.0015,0.0000,0.0000,0.0005,0.0007,0.2742,0.0004,0.0022,0.0031
0.40,0.3675,0.0020,0.3675,0.0020,0.0000,0.0000,0.0000,0.0010,0.3675,0.0007,0.0000,nan
0.50,0.4692,0.0000,0.4692,0.0000,0.0000,0.0000,0.0000,0.0000,0.4692,0.0000,0.0000,nan
0.60,0.5679,0.0020,0.5670,0.0000,0.0000,0.0000,0.0010,0.0011,0.5670,0.0000,0.0045,0.0051
0.70,0.6652,0.0015,0.6647,0.0000,0.0000,0.0000,0.0005,0.0010,0.6647,0.0000,0.0022,0.0045
0.80,0.7649,0.0024,0.7659,0.0022,0.0000,0.0000,-0.0010,0.0025,0.7659,0.0017,-0.0045,-0.0116
0.90,0.8578,0.0024,0.8597,0.0015,0.0000,0.0000,-0.0020,0.0024,0.8597,0.0013,-0.0090,-0.0112
1.00,0.9575,0.0015,0.9580,0.0000,0.0000,0.0000,-0.0005,0.0014,0.9580,0.0000,-0.0022,-0.0064
1.10,1.0606,0.0000,1.0596,0.0020,0.0000,0.0000,0.0010,0.0021,1.0596,0.0021,0.0045,0.0095
1.20,1.1535,0.0000,1.1520,0.0022,0.0000,0.0000,0.0015,0.0026,1.1520,0.0026,0.0067,0.0118
1.30,1.2556,0.0015,1.2561,0.0000,0.0000,0.0000,-0.0005,0.0018,1.2561,0.0000,-0.0022,-0.0084
1.40,1.3539,0.0000,1.3534,0.0015,0.0000,0.0000,0.0005,0.0020,1.3534,0.0020,0.0022,0.0091
1.50,1.4487,0.0024,1.4467,0.0000,0.0000,0.0000,0.0020,0.0035,1.4467,0.0000,0.0090,0.0159
1.60,1.5508,0.0022,1.5249,0.0000,0.0000,0.0000,0.0259,0.0035,1.5249,0.0000,0.1187,0.0159
1.70,1.6466,0.0015,1.5748,0.0020,0.0000,0.0000,0.0718,0.0039,1.5748,0.0031,0.3291,0.0180
1.80,1.7449,0.0000,1.6090,0.0020,0.0000,0.0000,0.1359,0.0031,1.6090,0.0031,0.6224,0.0147
1.90,1.8441,0.0022,1.6359,0.0022,0.0000,0.0000,0.2082,0.0055,1.6359,0.0037,0.9538,0.0257
2.00,1.9355,0.0000,1.6520,0.0000,0.0000,0.0000,0.2835,0.0000,1.6520,0.0000,1.2986,0.0065
2.10,2.0381,0.0000,1.6716,0.0000,0.0000,0.0000,0.3666,0.0000,1.6716,0.0000,1.6792,0.0084
2.20,2.1359,0.0000,1.6862,0.0000,0.0000,0.0000,0.4497,0.0000,1.6862,0.0000,2.0598,0.0103
2.30,2.2292,0.0015,1.6975,0.0022,0.0000,0.0000,0.5318,0.0050,1.6975,0.0038,2.4360,0.0260
2.40,2.3314,0.0000,1.7107,0.0000,0.0000,0.0000,0.6207,0.0000,1.7107,0.0000,2.8434,0.0142
2.50,2.4277,0.0022,1.7209,0.0015,0.0000,0.0000,0.7067,0.0060,1.7209,0.0025,3.2375,0.0319
2.60,2.5264,0.0015,1.7341,0.0020,0.0000,0.0000,0.7923,0.0050,1.7341,0.0034,3.6293,0.0293
2.70,2.6256,0.0020,1.7449,0.0000,0.0000,0.0000,0.8807,0.0051,1.7449,0.0000,4.0346,0.0310
2.80,2.7219,0.0015,1.7537,0.0020,0.0000,0.0000,0.9682,0.0053,1.7537,0.0034,4.4353,0.0328
2.90,2.8206,0.0015,1.7644,0.0000,0.0000,0.0000,1.0562,0.0041,1.7644,0.0000,4.8383,0.0307
3.00,2.9184,0.0015,1.7742,0.0000,0.0000,0.0000,1.1442,0.0043,1.7742,0.0000,5.2413,0.0327
3.10,3.0156,0.0000,1.7830,0.0020,0.0000,0.0000,1.2326,0.0035,1.7830,0.0035,5.6466,0.0324
3.20,3.1183,0.0000,1.7923,0.0022,0.0000,0.0000,1.3260,0.0040,1.7923,0.0040,6.0742,0.0355
3.30,3.2160,0.0000,1.7986,0.0000,0.0000,0.0000,1.4174,0.0000,1.7986,0.0000,6.4929,0.0325
3.40,3.3138,0.0000,1.8089,0.0015,0.0000,0.0000,1.5049,0.0027,1.8089,0.0027,6.8937,0.0365
3.50,3.4154,0.0020,1.8182,0.0000,0.0000,0.0000,1.5973,0.0067,1.8182,0.0000,7.3168,0.0477
3.60,3.5093,0.0000,1.8270,0.0020,0.0000,0.0000,1.6823,0.0036,1.8270,0.0036,7.7064,0.0419
3.70,3.6075,0.0015,1.8343,0.0022,0.0000,0.0000,1.7732,0.0067,1.8343,0.0041,8.1228,0.0509
3.80,3.7097,0.0000,1.8426,0.0000,0.0000,0.0000,1.8671,0.0000,1.8426,0.0000,8.5527,0.0428
3.90,3.8035,0.0020,1.8519,0.0015,0.0000,0.0000,1.9516,0.0079,1.8519,0.0027,8.9400,0.0576
4.00,3.9052,0.0000,1.8607,0.0022,0.0000,0.0000,2.0445,0.0042,1.8607,0.0042,9.3654,0.0506
4.10,3.9995,0.0022,1.8671,0.0000,0.0000,0.0000,2.1325,0.0090,1.8671,0.0000,9.7685,0.0638
4.20,4.0958,0.0000,1.8768,0.0000,0.0000,0.0000,2.2190,0.0000,1.8768,0.0000,10.1647,0.0508
4.30,4.1984,0.0000,1.8822,0.0015,0.0000,0.0000,2.3162,0.0028,1.8822,0.0028,10.6103,0.0545
4.40,4.2908,0.0015,1.8915,0.0000,0.0000,0.0000,2.3993,0.0063,1.8915,0.0000,10.9909,0.0621
4.50,4.3920,0.0024,1.8988,0.0024,0.0000,0.0000,2.4932,0.0115,1.8988,0.0046,11.4208,0.0777
4.60,4.4335,0.0015,1.9018,0.0015,0.0000,0.0000,2.5318,0.0071,1.9018,0.0028,11.5977,0.0664
4.70,4.4335,0.0015,1.9013,0.0000,0.0000,0.0000,2.5323,0.0065,1.9013,0.0000,11.5999,0.0652
4.80,4.4335,0.0015,1.9013,0.0000,0.0000,0.0000,2.5323,0.0065,1.9013,0.0000,11.5999,0.0652
4.90,4.4340,0.0020,1.9013,0.0000,0.0000,0.0000,2.5327,0.0087,1.9013,0.0000,11.6021,0.0703
5.00,4.4340,0.0020,1.9013,0.0000,0.0000,0.0000,2.5327,0.0087,1.9013,0.0000,11.6021,0.0703
