out,A0,dA0,A1,dA1,A2,dA2,A0-A1,d(A0-A1),A1-A2,d(A1-A2),current (mA),d(current (mA))
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
0.10,0.0782,0.0000,0.0782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0782,0.0000,0.0000,nan
0.20,0.1760,0.0000,0.1760,0.0000,0.0000,0.0000,0.0000,0.0000,0.1760,0.0000,0.0000,nan
0.30,0.2742,0.0015,0.2747,0.0020,0.0000,0.0000,-0.0005,0.0007,0.2747,0.0005,-0.0022,-0.0031
0.40,0.3675,0.0020,0.3685,0.0024,0.0000,0.0000,-0.0010,0.0011,0.3685,0.0009,-0.0045,-0.0052
0.50,0.4692,0.0000,0.4697,0.0015,0.0000,0.0000,-0.0005,0.0007,0.4697,0.0007,-0.0022,-0.0032
0.60,0.5674,0.0015,0.5674,0.0015,0.0000,0.0000,0.0000,0.0012,0.5674,0.0008,0.0000,nan
0.70,0.6647,0.0000,0.6652,0.0015,0.0000,0.0000,-0.0005,0.0010,0.6652,0.0010,-0.0022,-0.0045
0.80,0.7664,0.0020,0.7669,0.0015,0.0000,0.0000,-0.0005,0.0019,0.7669,0.0011,-0.0022,-0.0086
0.90,0.8602,0.0000,0.8602,0.0000,0.0000,0.0000,0.0000,0.0000,0.8602,0.0000,0.0000,nan
1.00,0.9580,0.0000,0.9580,0.0000,0.0000,0.0000,0.0000,0.0000,0.9580,0.0000,0.0000,nan
1.10,1.0591,0.0022,1.0587,0.0024,0.0000,0.0000,0.0005,0.0035,1.0587,0.0025,0.0022,0.0159
1.20,1.1520,0.0022,1.1530,0.0015,0.0000,0.0000,-0.0010,0.0031,1.1530,0.0017,-0.0045,-0.0141
1.30,1.2561,0.0000,1.2561,0.0000,0.0000,0.0000,0.0000,0.0000,1.2561,0.0000,0.0000,nan
1.40,1.3534,0.0015,1.3539,0.0000,0.0000,0.0000,-0.0005,0.0020,1.3539,0.0000,-0.0022,-0.0091
1.50,1.4477,0.0020,1.4501,0.0022,0.0000,0.0000,-0.0024,0.0043,1.4501,0.0032,-0.0112,-0.0197
1.60,1.5508,0.0022,1.5503,0.0020,0.0000,0.0000,0.0005,0.0046,1.5503,0.0030,0.0022,0.0211
1.70,1.6471,0.0000,1.6471,0.0000,0.0000,0.0000,0.0000,0.0000,1.6471,0.0000,0.0000,nan
1.80,1.7454,0.0015,1.7449,0.0000,0.0000,0.0000,0.0005,0.0026,1.7449,0.0000,0.0022,0.0117
1.90,1.8475,0.0000,1.8470,0.0015,0.0000,0.0000,0.0005,0.0027,1.8470,0.0027,0.0022,0.0124
2.00,1.9384,0.0024,1.9384,0.0024,0.0000,0.0000,0.0000,0.0066,1.9384,0.0046,0.0000,nan
2.10,2.0391,0.0020,2.0381,0.0000,0.0000,0.0000,0.0010,0.0040,2.0381,0.0000,0.0045,0.0183
2.20,2.1359,0.0000,2.1212,0.0000,0.0000,0.0000,0.0147,0.0000,2.1212,0.0000,0.0672,0.0003
2.30,2.2331,0.0015,2.1799,0.0000,0.0000,0.0000,0.0533,0.0033,2.1799,0.0000,0.2440,0.0150
