out,A0,A1,A2,A0-A1,A1-A2,current (mA)
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.10,0.0782,0.0782,0.0000,0.0000,0.0782,0.0000
0.20,0.1760,0.1760,0.0000,0.0000,0.1760,0.0000
0.30,0.2737,0.2786,0.0000,-0.0049,0.2786,-0.0224
0.40,0.3666,0.3666,0.0000,0.0000,0.3666,0.0000
0.50,0.4692,0.4692,0.0000,0.0000,0.4692,0.0000
0.60,0.5670,0.5670,0.0000,0.0000,0.5670,0.0000
0.70,0.6647,0.6647,0.0000,0.0000,0.6647,0.0000
0.80,0.7674,0.7674,0.0000,0.0000,0.7674,0.0000
0.90,0.8602,0.8602,0.0000,0.0000,0.8602,0.0000
1.00,0.9580,0.9580,0.0000,0.0000,0.9580,0.0000
1.10,1.0606,1.0606,0.0000,0.0000,1.0606,0.0000
1.20,1.1535,1.1486,0.0000,0.0049,1.1486,0.0224
1.30,1.2561,1.2561,0.0000,0.0000,1.2561,0.0000
1.40,1.3539,1.3539,0.0000,0.0000,1.3539,0.0000
1.50,1.4467,1.4516,0.0000,-0.0049,1.4516,-0.0224
1.60,1.5494,1.5494,0.0000,0.0000,1.5494,0.0000
1.70,1.6471,1.6471,0.0000,0.0000,1.6471,0.0000
1.80,1.7449,1.7449,0.0000,0.0000,1.7449,0.0000
1.90,1.8475,1.8475,0.0000,0.0000,1.8475,0.0000
2.00,1.9404,1.9355,0.0000,0.0049,1.9355,0.0224
2.10,2.0381,2.0381,0.0000,0.0000,2.0381,0.0000
2.20,2.1359,2.1359,0.0000,0.0000,2.1359,0.0000
2.30,2.2287,2.2287,0.0000,0.0000,2.2287,0.0000
2.40,2.3314,2.3314,0.0000,0.0000,2.3314,0.0000
2.50,2.4291,2.4047,0.0000,0.0244,2.4047,0.1119
2.60,2.5269,2.4633,0.0000,0.0635,2.4633,0.2911
2.70,2.6295,2.5122,0.0000,0.1173,2.5122,0.5373
2.80,2.7224,2.5513,0.0000,0.1711,2.5513,0.7836
2.90,2.8201,2.5855,0.0000,0.2346,2.5855,1.0747
3.00,2.9179,2.6149,0.0000,0.3030,2.6149,1.3881
3.10,3.0156,2.6393,0.0000,0.3763,2.6393,1.7240
3.20,3.1232,2.6637,0.0000,0.4594,2.6637,2.1046
3.30,3.2160,2.6882,0.0000,0.5279,2.6882,2.4180
3.40,3.3187,2.7077,0.0000,0.6109,2.7077,2.7987
3.50,3.4164,2.7273,0.0000,0.6891,2.7273,3.1569
3.60,3.5093,2.7419,0.0000,0.7674,2.7419,3.5151
3.70,3.6119,2.7615,0.0000,0.8504,2.7615,3.8957
3.80,3.7097,2.7761,0.0000,0.9335,2.7761,4.2764
3.90,3.8074,2.7908,0.0000,1.0166,2.7908,4.6570
4.00,3.9052,2.8055,0.0000,1.0997,2.8055,5.0376
4.10,4.0029,2.8201,0.0000,1.1828,2.8201,5.4182
4.20,4.0958,2.8299,0.0000,1.2659,2.8299,5.7988
4.30,4.1984,2.8446,0.0000,1.3539,2.8446,6.2018
4.40,4.2913,2.8543,0.0000,1.4370,2.8543,6.5825
4.50,4.3939,2.8690,0.0000,1.5249,2.8690,6.9855
4.60,4.4917,2.8788,0.0000,1.6129,2.8788,7.3885
4.70,4.5894,2.8886,0.0000,1.7009,2.8886,7.7915
4.80,4.6921,2.8983,0.0000,1.7937,2.8983,8.2169
4.90,4.7019,2.8983,0.0000,1.8035,2.8983,8.2617
5.00,4.7019,2.8983,0.0000,1.8035,2.8983,8.2617
