out,A0,A1,A2,A0-A1,A1-A2,current (mA)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.10,0.08,0.08,0.00,0.00,0.08,0.00
0.20,0.18,0.18,0.00,0.00,0.18,0.00
0.30,0.27,0.27,0.00,0.00,0.27,0.00
0.40,0.37,0.37,0.00,-0.00,0.37,-0.02
0.50,0.47,0.47,0.00,0.00,0.47,0.00
0.60,0.57,0.57,0.00,0.00,0.57,0.00
0.70,0.67,0.66,0.00,0.00,0.66,0.02
0.80,0.77,0.77,0.00,0.00,0.77,0.00
0.90,0.86,0.86,0.00,0.00,0.86,0.00
1.00,0.96,0.96,0.00,0.00,0.96,0.00
1.10,1.06,1.06,0.00,0.00,1.06,0.00
1.20,1.15,1.15,0.00,0.00,1.15,0.00
1.30,1.26,1.26,0.00,0.00,1.26,0.00
1.40,1.35,1.35,0.00,0.00,1.35,0.00
1.50,1.45,1.45,0.00,0.00,1.45,0.00
1.60,1.55,1.55,0.00,0.00,1.55,0.00
1.70,1.65,1.65,0.00,0.00,1.65,0.00
1.80,1.74,1.75,0.00,-0.00,1.75,-0.02
1.90,1.85,1.85,0.00,0.00,1.85,0.00
2.00,1.94,1.94,0.00,0.00,1.94,0.00
2.10,2.04,2.04,0.00,0.00,2.04,0.00
2.20,2.14,2.12,0.00,0.02,2.12,0.09
2.30,2.23,2.17,0.00,0.06,2.17,0.27
2.40,2.34,2.22,0.00,0.12,2.22,0.54
2.50,2.43,2.25,0.00,0.18,2.25,0.83
2.60,2.53,2.28,0.00,0.25,2.28,1.14
2.70,2.62,2.30,0.00,0.32,2.30,1.48
2.80,2.72,2.32,0.00,0.40,2.32,1.84
2.90,2.82,2.35,0.00,0.47,2.35,2.17
3.00,2.92,2.36,0.00,0.56,2.36,2.55
3.10,3.02,2.38,0.00,0.64,2.38,2.91
3.20,3.12,2.39,0.00,0.73,2.39,3.34
3.30,3.22,2.41,0.00,0.81,2.41,3.69
3.40,3.32,2.43,0.00,0.89,2.43,4.07
3.50,3.42,2.44,0.00,0.98,2.44,4.48
3.60,3.51,2.45,0.00,1.06,2.45,4.86
3.70,3.61,2.47,0.00,1.14,2.47,5.24
3.80,3.71,2.48,0.00,1.23,2.48,5.62
3.90,3.81,2.49,0.00,1.31,2.49,6.02
4.00,3.91,2.51,0.00,1.40,2.51,6.43
4.10,4.00,2.52,0.00,1.49,2.52,6.81
4.20,4.10,2.53,0.00,1.57,2.53,7.21
4.30,4.20,2.54,0.00,1.66,2.54,7.59
4.40,4.29,2.55,0.00,1.74,2.55,7.99
4.50,4.39,2.56,0.00,1.83,2.56,8.40
4.60,4.50,2.57,0.00,1.93,2.57,8.82
4.70,4.59,2.58,0.00,2.01,2.58,9.20
4.80,4.64,2.59,0.00,2.05,2.59,9.40
4.90,4.64,2.59,0.00,2.05,2.59,9.40
5.00,4.64,2.59,0.00,2.05,2.59,9.40
