out,A0,dA0,A1,dA1,A2,dA2,A0-A1,d(A0-A1),A1-A2,d(A1-A2),current (mA),d(current (mA))
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
0.10,0.0782,0.0000,0.0782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0782,0.0000,0.0000,nan
0.20,0.1760,0.0000,0.1760,0.0000,0.0000,0.0000,0.0000,0.0000,0.1760,0.0000,0.0000,nan
0.30,0.2747,0.0020,0.2742,0.0015,0.0000,0.0000,0.0005,0.0007,0.2742,0.0004,0.0022,0.0031
0.40,0.3680,0.0022,0.3680,0.0022,0.0000,0.0000,0.0000,0.0012,0.3680,0.0008,0.0000,nan
0.50,0.4692,0.0000,0.4692,0.0000,0.0000,0.0000,0.0000,0.0000,0.4692,0.0000,0.0000,nan
0.60,0.5674,0.0015,0.5674,0.0015,0.0000,0.0000,0.0000,0.0012,0.5674,0.0008,0.0000,nan
0.70,0.6647,0.0000,0.6657,0.0020,0.0000,0.0000,-0.0010,0.0013,0.6657,0.0013,-0.0045,-0.0060
0.80,0.7669,0.0015,0.7674,0.0000,0.0000,0.0000,-0.0005,0.0011,0.7674,0.0000,-0.0022,-0.0052
0.90,0.8602,0.0000,0.8597,0.0015,0.0000,0.0000,0.0005,0.0013,0.8597,0.0013,0.0022,0.0058
1.00,0.9580,0.0000,0.9580,0.0000,0.0000,0.0000,0.0000,0.0000,0.9580,0.0000,0.0000,nan
1.10,1.0587,0.0024,1.0606,0.0000,0.0000,0.0000,-0.0020,0.0025,1.0606,0.0000,-0.0090,-0.0116
1.20,1.1530,0.0015,1.1515,0.0024,0.0000,0.0000,0.0015,0.0032,1.1515,0.0028,0.0067,0.0148
1.30,1.2561,0.0000,1.2556,0.0015,0.0000,0.0000,0.0005,0.0018,1.2556,0.0018,0.0022,0.0084
1.40,1.3534,0.0015,1.3539,0.0000,0.0000,0.0000,-0.0005,0.0020,1.3539,0.0000,-0.0022,-0.0091
1.50,1.4472,0.0015,1.4497,0.0024,0.0000,0.0000,-0.0024,0.0041,1.4497,0.0035,-0.0112,-0.0186
1.60,1.5508,0.0022,1.5518,0.0024,0.0000,0.0000,-0.0010,0.0051,1.5518,0.0038,-0.0045,-0.0236
1.70,1.6476,0.0015,1.6471,0.0000,0.0000,0.0000,0.0005,0.0024,1.6471,0.0000,0.0022,0.0111
1.80,1.7454,0.0015,1.7454,0.0015,0.0000,0.0000,0.0000,0.0036,1.7454,0.0026,0.0000,nan
1.90,1.8465,0.0020,1.8460,0.0022,0.0000,0.0000,0.0005,0.0055,1.8460,0.0041,0.0022,0.0251
2.00,1.9399,0.0015,1.9399,0.0015,0.0000,0.0000,0.0000,0.0040,1.9399,0.0028,0.0000,nan
2.10,2.0386,0.0015,2.0391,0.0020,0.0000,0.0000,-0.0005,0.0050,2.0391,0.0040,-0.0022,-0.0228
2.20,2.1364,0.0015,2.1364,0.0015,0.0000,0.0000,0.0000,0.0044,2.1364,0.0031,0.0000,nan
2.30,2.2331,0.0015,2.2331,0.0015,0.0000,0.0000,0.0000,0.0046,2.2331,0.0033,0.0000,nan
