out,A0,dA0,A1,dA1,A2,dA2,A0-A1,d(A0-A1),A1-A2,d(A1-A2),current (mA),d(current (mA))
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.10,0.0782,0.0000,0.0782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0782,0.0000,0.0000,0.0000
0.20,0.1760,0.0000,0.1764,0.0015,0.0000,0.0000,-0.0005,0.0003,0.1764,0.0003,-0.0022,0.0012
0.30,0.2737,0.0000,0.2737,0.0000,0.0000,0.0000,0.0000,0.0000,0.2737,0.0000,0.0000,0.0000
0.40,0.3675,0.0020,0.3680,0.0022,0.0000,0.0000,-0.0005,0.0011,0.3680,0.0008,-0.0022,0.0050
0.50,0.4692,0.0000,0.4692,0.0000,0.0000,0.0000,0.0000,0.0000,0.4692,0.0000,0.0000,0.0000
0.60,0.5674,0.0015,0.5674,0.0015,0.0000,0.0000,0.0000,0.0012,0.5674,0.0008,0.0000,0.0054
0.70,0.6647,0.0000,0.6647,0.0000,0.0000,0.0000,0.0000,0.0000,0.6647,0.0000,0.0000,0.0000
0.80,0.7669,0.0015,0.7674,0.0000,0.0000,0.0000,-0.0005,0.0011,0.7674,0.0000,-0.0022,0.0052
0.90,0.8597,0.0015,0.8602,0.0000,0.0000,0.0000,-0.0005,0.0013,0.8602,0.0000,-0.0022,0.0058
1.00,0.9575,0.0015,0.9575,0.0015,0.0000,0.0000,0.0000,0.0020,0.9575,0.0014,0.0000,0.0091
1.10,1.0587,0.0024,1.0591,0.0022,0.0000,0.0000,-0.0005,0.0035,1.0591,0.0024,-0.0022,0.0159
1.20,1.1525,0.0020,1.1535,0.0000,0.0000,0.0000,-0.0010,0.0023,1.1535,0.0000,-0.0045,0.0103
1.30,1.2561,0.0000,1.2561,0.0000,0.0000,0.0000,0.0000,0.0000,1.2561,0.0000,0.0000,0.0000
1.40,1.3539,0.0000,1.3539,0.0000,0.0000,0.0000,0.0000,0.0000,1.3539,0.0000,0.0000,0.0000
1.50,1.4477,0.0020,1.4506,0.0020,0.0000,0.0000,-0.0029,0.0040,1.4506,0.0028,-0.0134,0.0184
1.60,1.5508,0.0022,1.5518,0.0024,0.0000,0.0000,-0.0010,0.0051,1.5518,0.0038,-0.0045,0.0236
1.70,1.6471,0.0000,1.6471,0.0000,0.0000,0.0000,0.0000,0.0000,1.6471,0.0000,0.0000,0.0000
1.80,1.7458,0.0020,1.7449,0.0000,0.0000,0.0000,0.0010,0.0034,1.7449,0.0000,0.0045,0.0156
1.90,1.8465,0.0020,1.8470,0.0015,0.0000,0.0000,-0.0005,0.0045,1.8470,0.0027,-0.0022,0.0207
2.00,1.9384,0.0024,1.9399,0.0015,0.0000,0.0000,-0.0015,0.0054,1.9399,0.0028,-0.0067,0.0249
2.10,2.0381,0.0000,2.0386,0.0015,0.0000,0.0000,-0.0005,0.0030,2.0386,0.0030,-0.0022,0.0137
2.20,2.1369,0.0020,2.1359,0.0000,0.0000,0.0000,0.0010,0.0042,2.1359,0.0000,0.0045,0.0191
2.30,2.2331,0.0015,2.2331,0.0015,0.0000,0.0000,0.0000,0.0046,2.2331,0.0033,0.0000,0.0212
2.40,2.3358,0.0015,2.3324,0.0020,0.0000,0.0000,0.0034,0.0057,2.3324,0.0046,0.0157,0.0261
2.50,2.4291,0.0000,2.4145,0.0000,0.0000,0.0000,0.0147,0.0000,2.4145,0.0000,0.0672,0.0000
2.60,2.5269,0.0000,2.4668,0.0022,0.0000,0.0000,0.0601,0.0055,2.4668,0.0055,0.2754,0.0253
2.70,2.6295,0.0000,2.5024,0.0000,0.0000,0.0000,0.1271,0.0000,2.5024,0.0000,0.5821,0.0000
2.80,2.7229,0.0015,2.5274,0.0015,0.0000,0.0000,0.1955,0.0054,2.5274,0.0037,0.8956,0.0250
2.90,2.8231,0.0024,2.5513,0.0000,0.0000,0.0000,0.2717,0.0068,2.5513,0.0000,1.2448,0.0310
3.00,2.9223,0.0015,2.5709,0.0000,0.0000,0.0000,0.3514,0.0043,2.5709,0.0000,1.6098,0.0196
3.10,3.0156,0.0000,2.5904,0.0000,0.0000,0.0000,0.4252,0.0000,2.5904,0.0000,1.9479,0.0000
3.20,3.1232,0.0000,2.6100,0.0000,0.0000,0.0000,0.5132,0.0000,2.6100,0.0000,2.3509,0.0000
3.30,3.2175,0.0022,2.6246,0.0000,0.0000,0.0000,0.5929,0.0072,2.6246,0.0000,2.7158,0.0330
3.40,3.3187,0.0000,2.6422,0.0024,0.0000,0.0000,0.6764,0.0063,2.6422,0.0063,3.0987,0.0290
3.50,3.4169,0.0015,2.6588,0.0000,0.0000,0.0000,0.7581,0.0050,2.6588,0.0000,3.4726,0.0230
3.60,3.5132,0.0020,2.6725,0.0020,0.0000,0.0000,0.8407,0.0086,2.6725,0.0052,3.8510,0.0395
3.70,3.6119,0.0000,2.6872,0.0020,0.0000,0.0000,0.9247,0.0053,2.6872,0.0053,4.2361,0.0241
3.80,3.7136,0.0020,2.7014,0.0022,0.0000,0.0000,1.0122,0.0095,2.7014,0.0061,4.6368,0.0433
3.90,3.8074,0.0000,2.7126,0.0000,0.0000,0.0000,1.0948,0.0000,2.7126,0.0000,5.0152,0.0000
4.00,3.9062,0.0020,2.7273,0.0000,0.0000,0.0000,1.1789,0.0076,2.7273,0.0000,5.4003,0.0350
4.10,4.0029,0.0000,2.7370,0.0000,0.0000,0.0000,1.2659,0.0000,2.7370,0.0000,5.7988,0.0000
4.20,4.1007,0.0000,2.7517,0.0000,0.0000,0.0000,1.3490,0.0000,2.7517,0.0000,6.1794,0.0000
4.30,4.1994,0.0020,2.7630,0.0022,0.0000,0.0000,1.4365,0.0103,2.7630,0.0062,6.5802,0.0471
4.40,4.2942,0.0024,2.7761,0.0000,0.0000,0.0000,1.5181,0.0103,2.7761,0.0000,6.9541,0.0471
4.50,4.3939,0.0000,2.7864,0.0015,0.0000,0.0000,1.6075,0.0041,2.7864,0.0041,7.3638,0.0187
4.60,4.4946,0.0024,2.7986,0.0024,0.0000,0.0000,1.6960,0.0127,2.7986,0.0067,7.7691,0.0581
4.70,4.5894,0.0000,2.8104,0.0000,0.0000,0.0000,1.7791,0.0000,2.8104,0.0000,8.1497,0.0000
4.80,4.6867,0.0015,2.8201,0.0000,0.0000,0.0000,1.8666,0.0069,2.8201,0.0000,8.5505,0.0315
4.90,4.6872,0.0000,2.8201,0.0000,0.0000,0.0000,1.8671,0.0000,2.8201,0.0000,8.5527,0.0000
5.00,4.6877,0.0015,2.8201,0.0000,0.0000,0.0000,1.8675,0.0069,2.8201,0.0000,8.5550,0.0315
