out,A0,dA0,A1,dA1,A2,dA2,A0-A1,d(A0-A1),A1-A2,d(A1-A2),current (mA),d(current (mA))
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
0.10,0.0787,0.0015,0.0787,0.0015,0.0000,0.0000,0.0000,0.0002,0.0787,0.0001,0.0000,nan
0.20,0.1760,0.0000,0.1764,0.0015,0.0000,0.0000,-0.0005,0.0003,0.1764,0.0003,-0.0022,-0.0012
0.30,0.2747,0.0020,0.2737,0.0000,0.0000,0.0000,0.0010,0.0005,0.2737,0.0000,0.0045,0.0025
0.40,0.3685,0.0024,0.3690,0.0024,0.0000,0.0000,-0.0005,0.0013,0.3690,0.0009,-0.0022,-0.0058
0.50,0.4692,0.0000,0.4692,0.0000,0.0000,0.0000,0.0000,0.0000,0.4692,0.0000,0.0000,nan
0.60,0.5674,0.0015,0.5670,0.0000,0.0000,0.0000,0.0005,0.0008,0.5670,0.0000,0.0022,0.0038
0.70,0.6652,0.0015,0.6652,0.0015,0.0000,0.0000,0.0000,0.0014,0.6652,0.0010,0.0000,nan
0.80,0.7674,0.0000,0.7664,0.0020,0.0000,0.0000,0.0010,0.0015,0.7664,0.0015,0.0045,0.0069
0.90,0.8587,0.0022,0.8597,0.0015,0.0000,0.0000,-0.0010,0.0023,0.8597,0.0013,-0.0045,-0.0105
1.00,0.9580,0.0000,0.9580,0.0000,0.0000,0.0000,0.0000,0.0000,0.9580,0.0000,0.0000,nan
1.10,1.0606,0.0000,1.0601,0.0015,0.0000,0.0000,0.0005,0.0016,1.0601,0.0016,0.0022,0.0071
1.20,1.1530,0.0015,1.1535,0.0000,0.0000,0.0000,-0.0005,0.0017,1.1535,0.0000,-0.0022,-0.0077
1.30,1.2556,0.0015,1.2561,0.0000,0.0000,0.0000,-0.0005,0.0018,1.2561,0.0000,-0.0022,-0.0084
1.40,1.3539,0.0000,1.3543,0.0015,0.0000,0.0000,-0.0005,0.0020,1.3543,0.0020,-0.0022,-0.0091
1.50,1.4482,0.0022,1.4497,0.0024,0.0000,0.0000,-0.0015,0.0048,1.4497,0.0035,-0.0067,-0.0218
1.60,1.5513,0.0024,1.5513,0.0024,0.0000,0.0000,0.0000,0.0053,1.5513,0.0037,0.0000,nan
1.70,1.6471,0.0000,1.6471,0.0000,0.0000,0.0000,0.0000,0.0000,1.6471,0.0000,0.0000,nan
1.80,1.7449,0.0000,1.7449,0.0000,0.0000,0.0000,0.0000,0.0000,1.7449,0.0000,0.0000,nan
1.90,1.8470,0.0015,1.8470,0.0015,0.0000,0.0000,0.0000,0.0038,1.8470,0.0027,0.0000,nan
2.00,1.9399,0.0015,1.9374,0.0024,0.0000,0.0000,0.0024,0.0054,1.9374,0.0046,0.0112,0.0249
2.10,2.0391,0.0020,2.0381,0.0000,0.0000,0.0000,0.0010,0.0040,2.0381,0.0000,0.0045,0.0183
2.20,2.1364,0.0015,2.1364,0.0015,0.0000,0.0000,0.0000,0.0044,2.1364,0.0031,0.0000,nan
2.30,2.2331,0.0015,2.2331,0.0015,0.0000,0.0000,0.0000,0.0046,2.2331,0.0033,0.0000,nan
2.40,2.3358,0.0015,2.3314,0.0000,0.0000,0.0000,0.0044,0.0034,2.3314,0.0000,0.0202,0.0157
