out,A0,A1,A2,A0-A1,A1-A2,current (mA)
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.10,0.0782,0.0782,0.0000,0.0000,0.0782,0.0000
0.20,0.1760,0.1760,0.0000,0.0000,0.1760,0.0000
0.30,0.2737,0.2737,0.0000,0.0000,0.2737,0.0000
0.40,0.3666,0.3715,0.0000,-0.0049,0.3715,-0.0224
0.50,0.4692,0.4692,0.0000,0.0000,0.4692,0.0000
0.60,0.5670,0.5670,0.0000,0.0000,0.5670,0.0000
0.70,0.6647,0.6647,0.0000,0.0000,0.6647,0.0000
0.80,0.7674,0.7674,0.0000,0.0000,0.7674,0.0000
0.90,0.8602,0.8602,0.0000,0.0000,0.8602,0.0000
1.00,0.9580,0.9580,0.0000,0.0000,0.9580,0.0000
1.10,1.0606,1.0606,0.0000,0.0000,1.0606,0.0000
1.20,1.1535,1.1535,0.0000,0.0000,1.1535,0.0000
1.30,1.2561,1.2561,0.0000,0.0000,1.2561,0.0000
1.40,1.3539,1.3539,0.0000,0.0000,1.3539,0.0000
1.50,1.4467,1.4467,0.0000,0.0000,1.4467,0.0000
1.60,1.5494,1.5494,0.0000,0.0000,1.5494,0.0000
1.70,1.6471,1.6471,0.0000,0.0000,1.6471,0.0000
1.80,1.7449,1.7449,0.0000,0.0000,1.7449,0.0000
1.90,1.8426,1.8426,0.0000,0.0000,1.8426,0.0000
2.00,1.9404,1.9404,0.0000,0.0000,1.9404,0.0000
2.10,2.0381,2.0381,0.0000,0.0000,2.0381,0.0000
2.20,2.1359,2.1163,0.0000,0.0196,2.1163,0.0896
2.30,2.2336,2.1750,0.0000,0.0587,2.1750,0.2687
2.40,2.3363,2.2141,0.0000,0.1222,2.2141,0.5597
2.50,2.4291,2.2483,0.0000,0.1808,2.2483,0.8284
2.60,2.5269,2.2727,0.0000,0.2542,2.2727,1.1642
2.70,2.6295,2.3021,0.0000,0.3275,2.3021,1.5001
2.80,2.7224,2.3216,0.0000,0.4008,2.3216,1.8359
2.90,2.8201,2.3412,0.0000,0.4790,2.3412,2.1942
3.00,2.9179,2.3558,0.0000,0.5621,2.3558,2.5748
3.10,3.0156,2.3754,0.0000,0.6403,2.3754,2.9330
3.20,3.1232,2.3949,0.0000,0.7283,2.3949,3.3360
3.30,3.2160,2.4096,0.0000,0.8065,2.4096,3.6942
3.40,3.3187,2.4242,0.0000,0.8944,2.4242,4.0972
3.50,3.4164,2.4389,0.0000,0.9775,2.4389,4.4779
3.60,3.5142,2.4536,0.0000,1.0606,2.4536,4.8585
3.70,3.6119,2.4682,0.0000,1.1437,2.4682,5.2391
3.80,3.7097,2.4829,0.0000,1.2268,2.4829,5.6197
3.90,3.8074,2.4927,0.0000,1.3148,2.4927,6.0227
4.00,3.9052,2.5073,0.0000,1.3978,2.5073,6.4033
4.10,4.0029,2.5171,0.0000,1.4858,2.5171,6.8063
4.20,4.1007,2.5318,0.0000,1.5689,2.5318,7.1870
4.30,4.1984,2.5415,0.0000,1.6569,2.5415,7.5900
4.40,4.2913,2.5513,0.0000,1.7400,2.5513,7.9706
4.50,4.3939,2.5660,0.0000,1.8280,2.5660,8.3736
4.60,4.4917,2.5758,0.0000,1.9159,2.5758,8.7766
4.70,4.5894,2.5855,0.0000,2.0039,2.5855,9.1796
4.80,4.6383,2.5904,0.0000,2.0479,2.5904,9.3811
4.90,4.6383,2.5904,0.0000,2.0479,2.5904,9.3811
5.00,4.6383,2.5904,0.0000,2.0479,2.5904,9.3811
