out,A0,A1,A2,A0-A1,A1-A2,current (mA)
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.10,0.0782,0.0782,0.0000,0.0000,0.0782,0.0000
0.20,0.1760,0.1760,0.0000,0.0000,0.1760,0.0000
0.30,0.2737,0.2737,0.0000,0.0000,0.2737,0.0000
0.40,0.3666,0.3666,0.0000,0.0000,0.3666,0.0000
0.50,0.4692,0.4692,0.0000,0.0000,0.4692,0.0000
0.60,0.5670,0.5670,0.0000,0.0000,0.5670,0.0000
0.70,0.6647,0.6647,0.0000,0.0000,0.6647,0.0000
0.80,0.7625,0.7625,0.0000,0.0000,0.7625,0.0000
0.90,0.8602,0.8602,0.0000,0.0000,0.8602,0.0000
1.00,0.9580,0.9580,0.0000,0.0000,0.9580,0.0000
1.10,1.0606,1.0606,0.0000,0.0000,1.0606,0.0000
1.20,1.1486,1.1535,0.0000,-0.0049,1.1535,-0.0224
1.30,1.2561,1.2561,0.0000,0.0000,1.2561,0.0000
1.40,1.3539,1.3539,0.0000,0.0000,1.3539,0.0000
1.50,1.4467,1.4418,0.0000,0.0049,1.4418,0.0224
1.60,1.5543,1.5249,0.0000,0.0293,1.5249,0.1343
1.70,1.6471,1.5689,0.0000,0.0782,1.5689,0.3582
1.80,1.7449,1.6031,0.0000,0.1417,1.6031,0.6493
1.90,1.8426,1.6276,0.0000,0.2151,1.6276,0.9851
2.00,1.9355,1.6471,0.0000,0.2884,1.6471,1.3210
2.10,2.0381,1.6618,0.0000,0.3763,1.6618,1.7240
2.20,2.1359,1.6764,0.0000,0.4594,1.6764,2.1046
2.30,2.2287,1.6911,0.0000,0.5376,1.6911,2.4628
2.40,2.3314,1.7009,0.0000,0.6305,1.7009,2.8882
2.50,2.4242,1.7155,0.0000,0.7087,1.7155,3.2464
2.60,2.5269,1.7253,0.0000,0.8016,1.7253,3.6718
2.70,2.6295,1.7302,0.0000,0.8993,1.7302,4.1196
2.80,2.7224,1.7400,0.0000,0.9824,1.7400,4.5003
2.90,2.8201,1.7498,0.0000,1.0704,1.7498,4.9033
3.00,2.9179,1.7644,0.0000,1.1535,1.7644,5.2839
3.10,3.0156,1.7693,0.0000,1.2463,1.7693,5.7093
3.20,3.1183,1.7791,0.0000,1.3392,1.7791,6.1347
3.30,3.2160,1.7889,0.0000,1.4272,1.7889,6.5377
3.40,3.3138,1.7986,0.0000,1.5152,1.7986,6.9407
3.50,3.4164,1.8035,0.0000,1.6129,1.8035,7.3885
3.60,3.5093,1.8133,0.0000,1.6960,1.8133,7.7691
3.70,3.6070,1.8231,0.0000,1.7840,1.8231,8.1721
3.80,3.7097,1.8280,0.0000,1.8817,1.8280,8.6199
3.90,3.8025,1.8377,0.0000,1.9648,1.8377,9.0005
4.00,3.9052,1.8475,0.0000,2.0577,1.8475,9.4259
4.10,3.9980,1.8524,0.0000,2.1456,1.8524,9.8289
4.20,4.0958,1.8573,0.0000,2.2385,1.8573,10.2543
4.30,4.1984,1.8671,0.0000,2.3314,1.8671,10.6797
4.40,4.2913,1.8768,0.0000,2.4145,1.8768,11.0603
4.50,4.3939,1.8817,0.0000,2.5122,1.8817,11.5081
4.60,4.4282,1.8866,0.0000,2.5415,1.8866,11.6424
4.70,4.4282,1.8866,0.0000,2.5415,1.8866,11.6424
4.80,4.4282,1.8866,0.0000,2.5415,1.8866,11.6424
4.90,4.4282,1.8866,0.0000,2.5415,1.8866,11.6424
5.00,4.4282,1.8866,0.0000,2.5415,1.8866,11.6424
